first_name,last_name,title,format,link,save
 Els,Coenen,Invloed van linolzuur (18:2) op de aanhechting van mucus-geassocieerde darmbacterien,", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/coenen_els.pdf,coenen_els.pdf
 Emilie,Courtens,Mogelijke toepassingen van de OLAND-technologie in gasbehandeling,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Courtens%20Emilie%20%20-%20juni2011%20-%20Mogelijke%20toepassingen%20van%20de%20OLAND-technologie%20in%20gasbehandeling.pdf,Courtens%20Emilie%20%20-%20juni2011%20-%20Mogelijke%20toepassingen%20van%20de%20OLAND-technologie%20in%20gasbehandeling.pdf
 Roselien,Crab,Bioflocs technology: an integrated system for the removal of nutrients and simultaneous production of feed in aquacultures,", 2010, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/PhD_RoselienCrab.pdf,PhD_RoselienCrab.pdf
 Michael,Dalemans,Bio-elektrochemische oxidatie van methaan met productie van electriciteit,", 2006, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Bio-elektrochemische_oxidatie_van_methaan_met_productie_van_electriciteit.pdf,Bio-elektrochemische_oxidatie_van_methaan_met_productie_van_electriciteit.pdf
 Patrick,De Boever,"Interaction between soy, bile salt hydrolytic lactobacilli and in vitro cultured gut microbiota",", 2000, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Patrick_De_Boever.pdf,Phd_Patrick_De_Boever.pdf
 Bo,Debruyne,In vitro,karakterisatie van,http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesis_bo_debruyne.pdf,thesis_bo_debruyne.pdf
 Stijn,Decubber,Linking the carbon biokenetics of activated sludge to the operational wastewater treatment conditions,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/2014_DECUBBER.pdf,2014_DECUBBER.pdf
 Karel,Decroos,Microbial conversions of soygerms in the context of functional foods,", 2006, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Karel_Decroos.pdf,Phd_Karel_Decroos.pdf
 Hayde,De Clippeleir,Technologische en microbile aspecten van het OLAND-proces,", 2008, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Technologische_en_microbi%C3%ABle_aspecten_van_het_OLAND-proces.pdf,Technologische_en_microbi%C3%ABle_aspecten_van_het_OLAND-proces.pdf
 Simon,De Corte,Biologische palladium nanopartikels in membranen voor verwijdering van micropolluenten in afvalwater,", 2009, thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_Simon_De_Corte.pdf,Thesis_Simon_De_Corte.pdf
 Tom,Defoirdt,Quorum sensing disruption and the use of short-chain fatty acids and polyhydroxyalkanoates to control luminescent vibriosis,", 2008, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_tom_defoirdt.pdf,Phd_tom_defoirdt.pdf
 Bart,De Gusseme,Biologische sulfideverwijdering in rioleringssystemen,", 2007, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Biologische_sulfideverwijdering_in_rioleringssystemen.pdf,Biologische_sulfideverwijdering_in_rioleringssystemen.pdf
 Bart,De Gusseme,Microbially engineered strategies for the removal of organic and biological micropollutants from water,", 2011, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/doctoraat_bart_de_gusseme.pdf,doctoraat_bart_de_gusseme.pdf
 Tim,De Lange,Controle van kiemen op bouwmaterialen,", 2007, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_De_Lange_Tim.pdf,Thesis_De_Lange_Tim.pdf
 Larc,De Lathouwer,"A-slib als stabiliserend agens in anaerobe vergisting van keukenafval; 2012, Eindwerk KAHO Sint-Lieven",", Studiegebied Ind. Wetenschappen en Technologie",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/de_lathouwer_lars_-_kaho_stlieven.pdf,de_lathouwer_lars_-_kaho_stlieven.pdf
 Evelyn,De Maeseneire,Karakterisering van de bacterile gemeenschap op kleding,"; 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/evelyn_de_maeseneire_thesis.pdf,evelyn_de_maeseneire_thesis.pdf
 Cham,De Mulder,Impact of intrinsic and extrinsic parameters on the oxygen kinetic parameters of ammonia and nitrite oxidizing bacteria,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/ThesisChaimFinaal.pdf,ThesisChaimFinaal.pdf
