first_name,last_name,title,format,link,save
 Robin,Michelet,Model-based analysis of electrochemicalsystems for sulde recovery,", 2014,Master of Science in Bioscience Engineering: Chemistry and Bioprocess Technology",/sites/default/files/userfiles/u101/Masterproef_RobinMichelet_060614.pdf,Masterproef_RobinMichelet_060614.pdf
 Nick,Moens,Recovering phosphorus through electrodialysis,", 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/masterproef_nick_moens.pdf,masterproef_nick_moens.pdf
 Eva,Mols,Overleving en groei van micro-organismen in de wasmachine,", 2013, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Thesis%20Eva%20Mols.pdf,Thesis%20Eva%20Mols.pdf
 Luz Mariela,Mosquera Renteria,Spatial and temporal patterns of autotrophic nitrogen oxidizers in environmental biotechnology,", 2012",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesisluzmarielamosquera.pdf,thesisluzmarielamosquera.pdf
 Susan,Muyindike,CRADLE-TO-CRADLE WASTEWATER TREATMENT IN UGANDA,", 2011, Thesis M.Sc. in ENVIRONMENTAL SANITATION",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Muyindike%20Susan%20-%20Cradle-to-cradle%20wastewater%20treatment%20in%20Uganda.pdf,Muyindike%20Susan%20-%20Cradle-to-cradle%20wastewater%20treatment%20in%20Uganda.pdf
 Maarten,Muys,Optimization of sustainable nitrification strategies for source separated urine,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/05062014%20Finaal%20Thesis%20Maarten%20Muys_0.pdf,05062014%20Finaal%20Thesis%20Maarten%20Muys_0.pdf
 Leen,Nachtergale,Creatie van waardevolle bioproducten uit biogas met behulp van een cocultuur van algen en methaan oxiderende bacterien,", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/masterproef_leen_nachtergaele.pdf,masterproef_leen_nachtergaele.pdf
 Steffie,Pardaens,Isolatie van Bio-Pd precipiterende species voor polluentafbraak in Middelandse Zee-sedimenten,", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesis_steffiepardaens.pdf,thesis_steffiepardaens.pdf
 Hai,Pham The,Microbiological improvements of the bioanode performance in bioelectrochemical systems,", 2009, PhD Thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/PhdThesis_hai_pham.pdf,PhdThesis_hai_pham.pdf
 Kristof,Plovie,Valorisatie van geconcentreerd A-slib door middel van anaerobe vergisting,"; 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_kristof_plovie.pdf,thesis_kristof_plovie.pdf
 Ward,Polfliet,BIOTECHNOLOGISCHE PROCESSEN VOOR ACTIEVE LACHGASVERWIJDERING,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Polfliet%20Ward%20-%20juni2011%20-%20Biotechnologische%20processen%20voor%20actieve%20lachgasverwijdering.pdf,Polfliet%20Ward%20-%20juni2011%20-%20Biotechnologische%20processen%20voor%20actieve%20lachgasverwijdering.pdf
 Sam,Possemiers,Activation of proestrogens from hops by human intestinal bacteria,", 2007, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_sam_possemiers.pdf,Phd_sam_possemiers.pdf
 Benny,Pycke,The fate and effects of micropollutants in a biological life support system,", 2010, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_benny_pycke.pdf,Phd_benny_pycke.pdf
 Korneel,Rabaey,Microbial fuel cells: novel biotechnology for electricity generation,", 2005, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Microbial_fuel_cells%2C_novel_biotechnology_for_electricity_generation.pdf,Microbial_fuel_cells%2C_novel_biotechnology_for_electricity_generation.pdf
 Tom,Rasquin,Toepassing van biogene nanopartikels als katalysator bij de reductieve afbraak van farmaceutica,", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/rasquin_tom.pdf,rasquin_tom.pdf
 Devi,Rameiyanti,New Ways for Water Re-use in Aquaculture,", 2011, Thesis Master of Science in Aquaculture",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Rameiyanti%20%20Devi%20-%20sept2011%20-%20New%20ways%20for%20water%20re-use%20in%20aquaculture.pdf,Rameiyanti%20%20Devi%20-%20sept2011%20-%20New%20ways%20for%20water%20re-use%20in%20aquaculture.pdf
 Tom,Sabbe,Biologische palladium nanokatalysatoren: optimalisatie en nieuwe toepassingen,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/TomSabbe-IMCHEM331-120773-1307606082-Thesis_Tom_Sabbe.pdf,TomSabbe-IMCHEM331-120773-1307606082-Thesis_Tom_Sabbe.pdf
 Bart,Saerens,Antibacterial properties of synthesized silver nanoparticles,", 2009, master thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesisbartsaerens.pdf,Thesisbartsaerens.pdf
 Filipa,Santos,Sewage Plus Project: Co-digestion of Secondary Sludge,", 2011, Master in Environmental Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Filipa%20Santos%20-%20Thesis%20-%20Sewage%20Plus%20Project%20Final.pdf,Filipa%20Santos%20-%20Thesis%20-%20Sewage%20Plus%20Project%20Final.pdf
 Stphanie,Schraepen,Nitrificatie van urine in een membraanbioreactor voor ruimtetoepassingen,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Masterproef_StephanieSchraepen.pdf,Masterproef_StephanieSchraepen.pdf
 Jeroen,Segers,"Biogene palladium nanopartikels : stabiliteit, activiteit en oxidatieve toepassingen",", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/masterproef_jeroen_segers.pdf,masterproef_jeroen_segers.pdf
 Bram,Sercu,Odour removal in relation with the activity and composition of the microbial communities in biofilters and biotrickling filters,", 2006, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Doctorate_Bram_Sercu.pdf,Doctorate_Bram_Sercu.pdf
 Dries,Seuntjens, Strategies for the start-up and operation of the OLAND-process,", 2013, Thesis Bio-Engineering (hard copy available at the labmet library or at the library of the faculty)",/sites/default/files/userfiles/u1501/thesis_Dries_Seuntjens_Ugent_2013.pdf,thesis_Dries_Seuntjens_Ugent_2013.pdf
 Sylvie,Seurinck,Microbial source tracking methods for identification of fecal pollution in aquatic environments,", 2004, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Doctorate_Sylvie_Seurinck.pdf,Doctorate_Sylvie_Seurinck.pdf
 Kim,Seutens,(Bio)-electrochemical sulfide oxidation,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u101/Thesis%20-%20Kim%20Suetens.pdf,Thesis%20-%20Kim%20Suetens.pdf
 Tom,Sieprath,Hoogwaardige microbile lipiden uit secundaire grondstofstromen,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Sieprath%20Tom%20-%20juni2011%20-%20Hoogwaardige%20microbiele%20lipiden%20uit%20seundaire%20grondstofstromen.pdf,Sieprath%20Tom%20-%20juni2011%20-%20Hoogwaardige%20microbiele%20lipiden%20uit%20seundaire%20grondstofstromen.pdf
 Liesje,Sintubin,Production and applications of microbially precipitated nanosilver,", 2011, PhD Thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/liesje_sintubin.pdf,liesje_sintubin.pdf
 Melissa,Slabbaert,Groei en bewaring van reductief dechlorerende micro-organismen,", 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_melissa_slabbaert_3.pdf,thesis_melissa_slabbaert_3.pdf
 Rozel,Smet,De invloed van 5-fluorouracil op mond- en darmbacterin,"; 2014, Thesis Farmaceuteische Wetenschappen",/sites/default/files/userfiles/u1501/Masterproef%20Rozel%20Smet.pdf,Masterproef%20Rozel%20Smet.pdf
 Wenke,Smets,Bacterial analysis of polluted air in Antwerp and surroundings,", 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/master_thesis_wenke_smets.pdf,master_thesis_wenke_smets.pdf
 Marianne,Smits,Strategien met betrekking tot de procesoptimalisatie van anaerobe vergisting,", 2009, thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Finale_versie_Thesis_Marianne_Smits.pdf,Finale_versie_Thesis_Marianne_Smits.pdf
 Maarten,Soetaert,BIODEGRADATIE VAN MICROPOLLUENTEN NA BIOKATHODISCHE DEHALOGENATIE,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/MaartenSoetaert-IMMITE431-144754-1307610662-BIODEGRADATIE_VAN_MICROPOLLUENTEN_NA_BIOKATHODISCHE_DEHALOGENATIE.pdf,MaartenSoetaert-IMMITE431-144754-1307610662-BIODEGRADATIE_VAN_MICROPOLLUENTEN_NA_BIOKATHODISCHE_DEHALOGENATIE.pdf
 Charlotte,Tack,Combining anaerobic digestion and microalgae growth in 'the green flush' as a new sanitation concep,"t, 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesis_charlotte_tack.pdf,thesis_charlotte_tack.pdf
 Iris,Tavernier,Microbial production of poly(glutamic acid)," , 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Thesis_IrisTavernier%20%281%29.pdf,Thesis_IrisTavernier%20%281%29.pdf
 Tom,Teblick,Bacterie-metaal interacties : recuperatie van metalen en katalytische afbraak van organofluorverbindingen,", 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_tom_teblick_2012_2013.pdf,thesis_tom_teblick_2012_2013.pdf
Tayebeh,Bashnin,Microalgae to biogas coupled with nutrient recuperation,", 2011, Thesis M.Sc. in ENVIRONMENTAL SANITATION",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Bashnin%20Tayabeh%20-%20sept2011%20-%20Microalgae%20to%20biogas%20coupled%20with%20nutrient%20recuperation.pdf,Bashnin%20Tayabeh%20-%20sept2011%20-%20Microalgae%20to%20biogas%20coupled%20with%20nutrient%20recuperation.pdf
 Ellen,Thibo,Biogene metalen voor desinfectie van virale indicatoren in water,", 2009, thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/ThesisET.pdf,ThesisET.pdf
 N,Thi Phi Yen,Biotechnological applications on building materials,"; 2012, Thesis M.Sc. Environmental Saniation",/sites/default/files/userfiles/u1501/NGUYEN%20THI%20PHI%20YEN-MASTER%20THESIS.pdf,NGUYEN%20THI%20PHI%20YEN-MASTER%20THESIS.pdf
 Nelleke,Vanbeveren,Vertraagde vrijstelling van geurmoleculen op de huid met behulp van PLA nanopartikels,", 2013, Thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_nelleke_vanbeveren.pdf,thesis_nelleke_vanbeveren.pdf
 Emmy,Van Daele,Het effect van de bevallingswijze op de intestinale microbiota van kinderen tijdens de eerste levensmaanden,", 2014, Thesis M.Sc. Biochemie&Biotechnology",/sites/default/files/userfiles/u1501/thesis%282%29_Emmy_Van_Daele.pdf,thesis%282%29_Emmy_Van_Daele.pdf
 Maarten,Van de Vijver,Nutrintherwinning en beheersing van ammoniaktoxiciteit in anaerobe digestie door middel van elektrochemische technologie,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Thesis%20Maarten%20vdv_FINAAL.pdf,Thesis%20Maarten%20vdv_FINAAL.pdf
 Tom,Van de Wiele,Orale blootstelling aan milieucontaminanten: processen van biobeschikbaarheid en interacties met intestinale micro-organismen,", 2005, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_van_de_wiele.pdf,Phd_van_de_wiele.pdf
 Sara,Van Denhouwe,Combiningconstructed wetlands and microbial fuel cells for enhanced wastewater treatment,", 2013, Thesis ManaMa Milieusanering en milieubeheer",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/sara_master_thesis_13_0.pdf,sara_master_thesis_13_0.pdf
 Pieter,Van den Abbeele,Modulation of the intestinal mucosal microbiota by functional foods using novel,in vitro,http://www.labmet3.ugent.be/drupal/sites/default/files/images/u52/phd_pieter_vda.pdf,phd_pieter_vda.pdf
 Jens,Van den Brande,Anaerobe membraanbioreactoren voor de vergisting van afvalstromen binnen de bioraffinage,", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/van_den_brande_jens.pdf,van_den_brande_jens.pdf
 David,van der Ha,nieuwe vormen van toegevoegde waarde voor de microbile brandstofcel,", 2007, thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Nieuwe_vormen_van_toegevoegde_waarde_voor_toegevoegde_waarde_voor_de_microbi%C3%ABle_brandstofcel.pdf,Nieuwe_vormen_van_toegevoegde_waarde_voor_toegevoegde_waarde_voor_de_microbi%C3%ABle_brandstofcel.pdf
 David,van der Ha,Methanotrophic microbiomes as drivers for environmental biotechnology,", 2013, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u1/doctoraat_DavidvdHa.pdf,doctoraat_DavidvdHa.pdf
 Lynn,Vanhaecke,Impact of the human intestinal microbiota on the metabolism and toxic properties of the meat contaminant amino-1-...-pyridine,", 2008, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Doctorate_Lynn_Vanhaecke.pdf,Doctorate_Lynn_Vanhaecke.pdf
 Karen,Van Hoey,Benvloeding van plantengroei en microbile activiteit in de bodem door toediening van glycerol en andere koolstofbronnen,", 2006, thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_Karen_Van_Hoey.pdf,Thesis_Karen_Van_Hoey.pdf
 Florence,Van Herreweghen,Cross-feeding tussen de mucine-afbrekende darmbacterie ,Akkermansia muciniphila,/sites/default/files/userfiles/u1501/Thesis_VanHerreweghenFlorence.pdf,Thesis_VanHerreweghenFlorence.pdf
 Koen,Vanhooff,Verwijdering van EE2 en andere micropolluenten in bio-elektrochemische systemen en mangaanreactoren,", 2008, thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Verwijdering_van_EE2_en_andere_micropolluenten_in_bio-elektrochemische_systemen_en_mangaanreactoren.pdf,Verwijdering_van_EE2_en_andere_micropolluenten_in_bio-elektrochemische_systemen_en_mangaanreactoren.pdf
 Thomas,Van Keer,Karakterisatie en prebiotische sturing van de bacterile okselgemeenschap,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Thesis_ThomasVanKeer.pdf,Thesis_ThomasVanKeer.pdf
 Jarne,Van Meerbergen,MICROBIOLOGISCHE STRATEGIEN VOOR STURING VAN BIO-ENERGIEPRODUCTIE IN ANAEROBE SYSTEMEN,", 2011, Thesis Master in de Toegepaste Biologische Wetenschappen: Milieutechnologie",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Van%20Meerbergen%20Jarne%20-%20juni2011%20-%20Microbiologische%20strategieen%20voor%20sturing%20van%20bio-energieproductie%20in%20anaerobe%20systemen.pdf,Van%20Meerbergen%20Jarne%20-%20juni2011%20-%20Microbiologische%20strategieen%20voor%20sturing%20van%20bio-energieproductie%20in%20anaerobe%20systemen.pdf
 Lynn,Van Puyvelde,BESTRIJDING VAN BIOFILMS MET ZILVER,", 2011, Eerste Master in de Farmaceutische zorg",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/LynnVan_Puyvelde-JMFAZO241-140926-1307399005-Thesis__finaal_.pdf,LynnVan_Puyvelde-JMFAZO241-140926-1307399005-Thesis__finaal_.pdf
 Ilse,Van Roosbroeck,Microbe-gastheer interacties betrokken bij obesiteit: FIAF modulatie in de Caco-2 cellijn door darmbacterin,", 2009, thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_Ilse_Van_Roosbroeck.pdf,Thesis_Ilse_Van_Roosbroeck.pdf
 Tim,Van Winckel,Development of high-rate activated sludge processes for energy-efficient wastewater treatment,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Masterproef-Tim_van_Winckel.pdf,Masterproef-Tim_van_Winckel.pdf
 Tijs,Vanslambrouck,Sturing van de microbile OLAND-interacties voor huishoudelijke waterzuiveringsstappen,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Vanslambrouck%20Tijs%20-%20juni2011%20-%20Sturing%20van%20de%20microbiele%20OLAND-interacties%20voor%20huishoudelijke%20waterzuiverinsstappen.pdf,Vanslambrouck%20Tijs%20-%20juni2011%20-%20Sturing%20van%20de%20microbiele%20OLAND-interacties%20voor%20huishoudelijke%20waterzuiverinsstappen.pdf
 Inka,Vanwonterghem,Microbial interactions and metabolic networking in a methanotrophic community,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/InkaVanwonterghem-IMMITE431-121241-1307634091-Inka_Vanwonterghem_Masterproef_bio-ing_2010-2011.pdf,InkaVanwonterghem-IMMITE431-121241-1307634091-Inka_Vanwonterghem_Masterproef_bio-ing_2010-2011.pdf
 Ben,Verhaege,Autotrofe en heterotrofe N2O reducerende micro-organismen,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/BenVerhaege-IMCELB431-144275-1307703697-Ben_verhaege_thesis.pdf,BenVerhaege-IMCELB431-144275-1307703697-Ben_verhaege_thesis.pdf
 Eline,Vanlancker,Invloed van orale microbiota op epitheliale wondheling bij orale mucositis,", 2013, Thesis Bio-Engineer",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/masterproef_eline_vanlancker.pdf,masterproef_eline_vanlancker.pdf
 Matthijs,Vekeman,Optimalisatie van high-throughput analyses voor het uitvoeren van microwell nitrificatie activiteitstesten,; ,/sites/default/files/userfiles/u1501/Vekeman_MK_EC%20eindwerk_definitief%20%282%29.pdf,Vekeman_MK_EC%20eindwerk_definitief%20%282%29.pdf
 Kristof,Verbeeck,Combined synthesis and extraction of acetate from CO2 using microbial electrosynthesis,", 2014, Thesis Bio-Engineer",/sites/default/files/userfiles/u1501/20140606_Combined%20synthesis%20and%20extraction%20of%20acetate%20from%20CO2%20using%20MES_Kristof_Verbeeck.pdf,20140606_Combined%20synthesis%20and%20extraction%20of%20acetate%20from%20CO2%20using%20MES_Kristof_Verbeeck.pdf
 Joan,Vermeiren,Intestinal Microbial Metabolic Processes in Inflammatory Bowel Diseases,", 2011, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/joan.pdf,joan.pdf
 Vanessa,Vermeirssen,"Vrijstelling en activiteit van ACE-inhibitorische peptiden uit erwten- en wei-eiwit: fermentatie, in vitro vertering en transport",", 2003, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_vermeirssen_vanessa.pdf,Phd_vermeirssen_vanessa.pdf
 Veerle,Verrue,NIEUWE BIOKATALYSE VOOR UPGRADING VAN DEELSTROMEN IN DE BIORAFFINADERIJ,", 2011, Master na Master in de Milieusanering en het Milieubeheer",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Verrue%20Veerle%20-%20juni2011%20-%20Nieuwe%20biokatalyse%20voor%20upgrading%20van%20deelstromen%20in%20de%20bioraffinaderij.pdf,Verrue%20Veerle%20-%20juni2011%20-%20Nieuwe%20biokatalyse%20voor%20upgrading%20van%20deelstromen%20in%20de%20bioraffinaderij.pdf
 Kristof,Verth,Bacteriophage activity against enterobacter aerogenes under simukated intestinal conditions,", 2006, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Verth%C3%A9_Kristof.pdf,Phd_Verth%C3%A9_Kristof.pdf
 Han,Vervaeren,"Persistence, virulence and controle of Legionella Pneumophila in aquatic environments",", 2007, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Vervaeren_Han.pdf,Phd_Vervaeren_Han.pdf
 Siegfried,Vlaeminck,Biofilm and granule applications for one-stage autotrophic nitrogen removal,", 2009, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Vlaeminck.pdf,Phd_Vlaeminck.pdf
 Nina,Voulis,Bioelectrochemical upgrading of volatile fatty acids,", 2012, Thesis Bio-Engineering 'Environmental Technology'",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/ninavoulis_bioelectrochemicalupgradingofvolatilefattyacids.pdf,ninavoulis_bioelectrochemicalupgradingofvolatilefattyacids.pdf
 Yingying,Wang,"""The unseen majority"": heterotrophic bacteria in freshwater, more than just small and non-cultivable",", 2008, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Yingying.pdf,Phd_Yingying.pdf
 Lieven,Wittebolle,"Diversity, stability and functionality of microbial communities in the nitrogen cycle",", 2009, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_LievenW.pdf,Phd_LievenW.pdf
 Carlos,Zamalloa,New possibilities of integrating microalgae for energy generation and nutrient immobilization,""", 2012, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/phdthesisczamalloa.pdf,phdthesisczamalloa.pdf
 Yu,Zhang,Microbial processes in a simulated cold seep ecosystem,", 2011, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/PhD%20thesis_Zhang%20final_new.pdf,PhD%20thesis_Zhang%20final_new.pdf
 Zuwairat,M.O. Asekome,FROM BIOGAS TO BIOMASS: ALGAL-METHANOTROPHIC INTERACTIONS FOR BIOGAS TREATMENT AND ADDED VALUE PRODUCTION,", 2011, Thesis M.Sc. in ENVIRONMENTAL SANITATION",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Asekome%20Zuwairat%20-%20sept2011%20-%20From%20biogas%20to%20biomass%3Balgal-methanotrophic%20interactions%20for%20biogas%20treatment%20and%20added%20value%20production.pdf,Asekome%20Zuwairat%20-%20sept2011%20-%20From%20biogas%20to%20biomass%3Balgal-methanotrophic%20interactions%20for%20biogas%20treatment%20and%20added%20value%20production.pdf
