"n","Reaction","NAME.EQ"
"1","C180SN","16 TPNH + 23 H+ + Acetoacetyl-ACP + 7 Malonyl-acyl-carrierprotein- <=> 8 H2O + 16 TPN + 7 CO2 + 7 ACP + Octadecanoyl-ACP"
"2","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","8 H2O + 8 NAD + TPNH + 8 O2 + 8 CoA + Octadecenoyl-CoA <=> 8 NADH + TPN + 9 Acetyl-CoA + 8 H2O2 + 7 H+"
"3","Fatty acid oxidation (double bond on even num. carbon), peroxisomal","7 H2O + 7 NAD + TPNH + 7 O2 + 7 CoA + Hexadecenoyl-CoA <=> 7 NADH + TPN + 8 Acetyl-CoA + 7 H2O2 + 6 H+"
"4","reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)","16 H2O + 16 ATP + N2 + 8 Reducedferredoxin <=> 16 ADP + 16 Phosphate + 2 NH3 + 6 H+ + 8 Oxidizedferredoxin + H2"
"5","fatty-acyl-ACP synthase (n-C16:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Myristoyl-ACP + Malonyl-acyl-carrierprotein- <=> 3 H2O + 3 TPN + CO2 + ACP + Hexadecenoyl-ACP"
"6","fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial","3 TPNH + O2 + 4 H+ + Malonyl-acyl-carrierprotein- + Palmitoyl-ACP <=> 3 H2O + 3 TPN + CO2 + ACP + Octadecenoyl-ACP"
"7","(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase","TPN + (R)-3-Hydroxybutanoyl-[acyl-carrier protein] <=> TPNH + H+ + Acetoacetyl-ACP"
"8","fatty-acyl-ACP synthase (n-C16:0ACP), mitochondrial","2 TPNH + 3 H+ + Myristoyl-ACP + Malonyl-acyl-carrierprotein- <=> H2O + 2 TPN + CO2 + ACP + Palmitoyl-ACP"
"9","Uroporphyrinogen I carboxy-lyase","4 H+ + UroporphyrinogenI <=> 4 CO2 + CoproporphyrinogenI"
"10","Acetaldehyde dehydrogenase","2 NADH + Acetyl-CoA + 2 H+ <=> 2 NAD + CoA + ETOH"
"11","ammonium-hydroxide:NAD(P)+ oxidoreductase","2 H2O + 3 TPN + NH3 <=> 3 TPNH + 5 H+ + Nitrite"
"12","hydrogen-sulfide:NADP+ oxidoreductase","3 H2O + 3 TPN + H2S <=> 3 TPNH + 4 H+ + HSO3-"
"13","ammonium-hydroxide:NADP+ oxidoreductase","2 H2O + 3 NAD + NH3 <=> 3 NADH + 5 H+ + Nitrite"
"14","fatty-acid--CoA ligase (octadecenoate)","ATP + CoA + H+ + octadecenoate <=> PPi + AMP + Octadecenoyl-CoA"
"15","3-hydroxyadipyl-CoA dehydrogenase","(3S)-3-Hydroxyadipyl-CoA <=> 3-Oxoadipyl-CoA + H2"
