key,count
Bacteroidetes,1
Methylobacter,3
Myxococcus,1
jannaschii,1
Streptomyces,1
sphaericus,31
Bacillus,8
Clostridium,1
ferrireducens,1
Lysinibacillus,6
anthropi,1
Ochrobactrum,1
Sulfitobacter,1
uncultured,3
Methanococcus,1
beta,1
delta,2
alpha,1
marine,123
unidentified,1
Burkholderia,1
bacterium,6
gamma,1
