key,count
putida,4
Ralstonia,7
metallidurans,1
Methanosarcina,3
Bacteroidetes,3
barkeri,1
propionicus,4
acetoxidans,1
Geobacter,24
Shewanella,7
Desulfotomaculum,1
bacterium,11
Alteromonas,1
bemidjiensis,1
Rhodobacter,1
Leptothrix,10
sulfurreducens,6
Pseudomonas,12
metallireducens,5
ferrireducens,1
minor,4
Desulfuromonas,4
uncultured,19
Methanosaeta,1
Thermincola,1
Comamonas,1
marine,55
fluorescens,3
mobile,1
testosteroni,1
Bacillus,13
Anabaena,1
oneidensis,6
Desulfitobacterium,1
comes,1
