key,count
Shewanella,38
desulfuricans,8
Citrobacter,1
Rhodococcus,2
Bacillus,5
Pyrobaculum,1
Thermomonospora,2
bacterium,1
Desulfovibrio,12
Anabaena,1
putida,4
islandicum,1
Alteromonas,1
oneidensis,22
gamma,1
Pseudomonas,8
Paracoccus,3
putrefaciens,3
sphaericus,4
oral,1
Cupriavidus,7
