,Staphylococcus aureus subsp. aureus MRSA252,Streptococcus pyogenes MGAS9429,Staphylococcus aureus subsp. aureus MRSA252,Helicobacter acinonychis str. Sheeba,Vibrio cholerae O1 biovar El Tor str. N16961,Mycobacterium tuberculosis SUMu007,Janibacter sp. HTCC2649,Janibacter sp. HTCC2649,Alicycliphilus denitrificans BC,Escherichia coli SE15,Streptococcus pneumoniae CDC1873-00,Streptococcus pneumoniae CDC1873-00,Mycobacterium smegmatis str. MC2 155,Bacteroides sp. 2_2_4,Bacillus mycoides DSM 2048,Myxococcus xanthus DK 1622,Roseburia intestinalis L1-82,Escherichia sp. 3_2_53FAA,Streptococcus pneumoniae P1031,Bacillus cereus Rock4-2,Helicobacter pylori J99,Roseobacter sp. AzwK-3b,Helicobacter pylori J99,Subdoligranulum variabile DSM 15176,Enterococcus faecalis T1,Borrelia hermsii DAH,Borrelia hermsii DAH,Sphingomonas sp. SKA58,Prochlorococcus marinus str. MIT 9312,Prochlorococcus marinus str. MIT 9312,Acinetobacter baumannii ATCC 17978,Acinetobacter baumannii ATCC 17978,Comamonas testosteroni KF-1,Thiomonas intermedia K12,Thiomonas intermedia K12,Enterococcus faecium E1162,Phaeobacter gallaeciensis BS107,Lactobacillus paracasei subsp. paracasei 8700:2,Streptococcus pneumoniae ATCC 700669,Clostridium perfringens E str. JGS1987,Kangiella koreensis DSM 16069,Agrobacterium radiobacter K84,Escherichia coli O157:H7,Janthinobacterium sp. Marseille,Janthinobacterium sp. Marseille,Francisella tularensis subsp. tularensis SCHU S4,Bacillus cereus F65185,Geobacter lovleyi SZ,Streptococcus pneumoniae 23F,Providencia alcalifaciens DSM 30120,Streptococcus salivarius SK126,Streptococcus sp. oral taxon 071 str. 73H25AP,Acinetobacter sp. 6013150,Alicycliphilus denitrificans BC,Brucella abortus bv. 1 str. 9-941,Brucella abortus biovar 1 str. 9-941,Escherichia coli 042,Escherichia coli 042,Staphylococcus epidermidis SK135,Dehalococcoides sp. CBDB1,Borrelia burgdorferi 72a,Salmonella typhimurium LT2,Porphyromonas endodontalis ATCC 35406,Haemophilus influenzae Rd KW20,Haemophilus influenzae Rd KW20,Lactobacillus jensenii 27-2-CHN,Enterococcus faecium TX0133C,Dehalococcoides sp. BAV1,Sphingopyxis alaskensis RB2256,Rhodococcus erythropolis SK121,Roseovarius nubinhibens ISM,Meiothermus ruber DSM 1279,Meiothermus ruber DSM 1279,Meiothermus ruber DSM 1279,Roseovarius nubinhibens ISM,Lactobacillus vaginalis ATCC 49540,Burkholderia pseudomallei Pasteur 52237,Burkholderia pseudomallei Pasteur,Clostridium botulinum Ba4 str. 657,Lactobacillus brevis ATCC 367,Lactobacillus brevis ATCC 367,Neisseria cinerea ATCC 14685,Burkholderia pseudomallei 1655,Escherichia coli B171,Escherichia coli B171,Bacteroides sp. 3_1_40A,Mesoplasma florum L1,Mesoplasma florum L1,Lactobacillus iners ATCC 55195,Spirochaeta thermophila DSM 6192,Thermus aquaticus Y51MC23,Desulfitobacterium hafniense DCB-2,Shigella dysenteriae 1617,Desulfitobacterium hafniense DCB-2,Lactococcus lactis subsp. lactis KF147,Escherichia coli E24377A,Haemophilus influenzae 22.1-21,Pseudomonas fluorescens Pf0-1,Streptococcus pyogenes MGAS315,Streptococcus pyogenes MGAS315
Subdoligranulum variabile DSM 15176,-2488.9618730683665,13136.735378263018,-2761.360703570969,-1217.2510433092434,-73.09455537580342,2255.8231295848445,1703.0304263691876,416.4822309857581,-1731.522367112562,-2580.088825068508,16407.91761818368,12029.450976207369,-1064.8479871460272,-1277.6320983548192,7239.006706908629,5092.856259956216,-2770.10108836083,-674.0488350002657,19380.0841918731,2654.1519663514837,-2326.106056149723,103.06338557617589,375.9335538005916,-543.0019974853451,-544.0054332548592,-532.2718983163812,-533.25560480308,-543.0050982316628,-545.6383530633015,-545.6090604926819,-544.012972392269,-543.0023523691632,-543.0018554422875,-543.0047612273946,-544.0044070769047,-544.0091208937539,-545.6053363269847,-543.9941591364953,-543.9783950598934,-542.9927748257059,-545.0085853495184,-544.5979131247493,-543.0001415884725,-544.0018363520669,-543.5132297127695,-542.9937715180766,-544.999376342674,-544.0194981132289,-543.9706543210144,-539.5031638700545,-543.001099133412,-543.0062926432873,-545.600710769015,-544.0073792503247,-543.0011914861285,-543.0023284650239,-542.9969857924623,-543.0013789739867,-544.0017993646028,-543.9686297136495,-542.9292965257977,-542.9989120647303,-543.0085815150344,-542.9951565124734,-543.9957636702612,-536.9221974363353,-543.993015121109,-544.0004283394692,-544.0108401916137,-544.0017217215194,-545.6041058914406,-542.9987995857108,-543.0021703885614,-543.0010661442142,-544.597857410152,-543.9915987548464,-542.9996744066451,-543.0009494530079,-543.0063852333979,-541.0032206928539,-538.0173962659313,-544.0195374681058,-542.9998623647883,-542.9987215843472,-543.0030825099806,-543.0045439709627,-542.4628541899061,-535.875829277056,-542.9806135065693,-543.002909772871,-544.0069778331173,-543.0066668489367,-543.003984451007,-543.0116482485838,-544.0085406992624,-543.0005587803361,-542.9986681774925,-543.0008967306799,-542.9917682256742,-543.0021122564482
Enterococcus faecalis T1,-2492.8580358517347,13140.988885345098,-2762.042268526222,-1219.8043470799469,-72.02571131018337,2253.4931799245787,1701.01082348197,416.451377189575,-1729.9991758823608,-2578.004609767501,16410.005169899563,12026.010456194163,-1063.997492646697,-1279.0243944616789,7239.198371681961,5096.133936315282,-2762.9945465935075,-678.9528797971412,19381.992707859707,2651.022250087226,-2325.9825757392814,102.98663177500384,378.90581811279105,-544.0054332548592,-4658.999001534634,-4662.38034055259,-4655.954758577586,-4655.964537986805,-4661.568933936074,-4662.964368349795,-4658.178576677979,-4659.709493675863,-4658.670029018379,-4660.543702787369,-4660.217858528038,-4659.357728324768,-4658.321415450598,-4658.498267884418,-4658.899188180423,-4659.353254881939,-4659.35663474778,-4659.673247684666,-4659.581561928334,-4660.253311614229,-4659.222866095342,-4658.990321896399,-4658.997758236331,-4659.077600608137,-4657.38971219543,-4659.795325871044,-4659.013411383961,-4657.564803997004,-4657.380362722385,-4658.73560537033,-4658.412149516894,-4658.614886143873,-4659.555141847723,-4659.204907737629,-4659.056047221668,-4667.752409088177,-4660.505498664448,-4659.579119586021,-4659.912087215405,-4659.362565732855,-4657.2473135881655,-4660.893970394709,-4659.303585577199,-4664.491326393007,-4659.564387002262,-4659.38396200934,-4659.68845535141,-4658.743460902682,-4658.157239339768,-4659.01273134861,-4659.2043738402335,-4658.291782163931,-4658.193635575379,-4657.57498362496,-4660.576121264739,-4658.213944639126,-4658.202304036748,-4657.647666374958,-4658.463972243736,-4659.414362004207,-4659.2361669470365,-4660.632329285205,-4661.368234204729,-4650.7378733993755,-4659.400675911137,-4659.351248466532,-4660.9053039602695,-4657.998929672383,-4658.641087911126,-4658.101364423018,-4658.909801410445,-4659.18016666962,-4659.662918720657,-4658.95505396195,-4659.2888237120005,-4660.007542664901
Borrelia hermsii DAH,-2490.5367410819626,13135.047094427446,-2758.6516004984674,-1213.6354598193877,-77.47497761386796,2257.588049487741,1700.8283193098564,406.8881691296777,-1726.2393197778579,-2576.4332465208813,16419.022967148507,12030.543704166541,-1068.7406071794164,-1277.535747963339,7249.38007558342,5093.190966579342,-2764.2669378119526,-678.5535230943449,19375.303257486,2665.6845386048108,-2320.9440764123865,103.60773211554994,363.73531847409834,-532.2718983163812,-4662.38034055259,1623.9960026308129,1623.986739794698,1623.999845149797,1623.9686208361825,1623.976941651701,1623.9946908928232,1623.9967484835745,1623.993254430397,1623.991997986199,1623.9950251815203,1623.9971971167472,1623.9879962907598,1623.9917542689536,1623.978745563116,1623.9894560559073,1623.9823347616543,1623.9931523275677,1623.9927368309216,1623.9969024217457,1623.9985415601752,1623.9865068454512,1623.992101470029,1623.9968558376136,1623.9840529462895,1623.491931414567,1623.9846015841806,1623.9925168027685,1623.994234852376,1623.991577116525,1623.9883590181068,1623.988703673746,1623.9917369110049,1623.9935623557092,1623.992103376902,1624.9880314521706,1623.997286177007,1623.9927184216176,1623.9947576231116,1623.9877902998192,1623.9905125461348,1623.915898201466,1623.9983953972949,1624.9903377797316,1623.9901831087586,1623.9912726883385,1623.9952631672315,1623.995611898043,1623.9947104801354,1623.9903222768914,1623.9954960901632,1623.9974690260158,1623.993975983084,1623.9921585243899,1623.9807547277921,1623.9864238787568,1623.97929808058,1623.987344005387,1623.991879258473,1623.9936073422036,1623.9929416755456,1623.9941972402335,1623.990357177357,1623.8720294383872,1623.9364909595683,1623.995550850351,1623.989748301051,1623.99597221915,1623.9926037894436,1623.99527113916,1623.9978790836635,1623.993826009664,1623.9864450738664,1623.9950773278163,1623.989684333304,1623.9715924230634
Borrelia hermsii DAH,-2485.5166124694447,13137.602515793538,-2774.6326810982064,-1212.3544110478729,-78.25906346202538,2258.502483586779,1701.0577591242713,405.8022618440472,-1724.815959566303,-2576.4165876053676,16415.84011412212,12030.827445548784,-1068.629694072692,-1279.8713185711506,7257.870676274364,5091.299556666234,-2768.3465091140383,-674.3395288676237,19375.42392489251,2657.8772086686745,-2321.831003194665,104.24827843485777,371.2616837981352,-533.25560480308,-4655.954758577586,1623.986739794698,915.9950050595457,916.0012641088483,918.9969160422494,918.9800897466143,918.0137531929269,916.001180245304,916.9935447392868,917.0077023577685,917.9978961248731,919.0127576260352,919.0182141388218,915.9879922252059,917.9921625255898,916.9901931867162,923.0200947874449,915.9945390719789,915.9924749345727,919.0296124746566,919.8102317987344,915.9876296959726,918.0009201002933,918.0167058838412,917.9962213580332,916.9918382203535,915.9806154502085,911.0057365380068,918.0189658162213,922.0136920260207,916.9909039143912,916.9881453503488,915.9925280313005,915.9930916134173,919.0046976974149,918.4675372330296,916.9839864601685,915.9932456422055,915.9963411226266,915.9932015444213,915.9931532289891,918.9795301050996,919.0112158782534,922.0030998727403,919.0170571987965,918.0003008777219,919.0049813545977,915.9928990581689,915.9965292590658,915.9946705999002,917.0026150531427,915.9957791007502,915.9935939050393,915.9921592800805,916.9965636002152,918.9895830656993,919.0096112805937,918.5074396692743,915.9911639523596,915.9944196891806,915.9937925542797,915.9957355309149,914.9681758523648,916.9400180421767,914.9557174527555,915.9983847106025,918.9951053456757,916.9960208647905,915.9932908707755,916.99453653279,918.0157174169283,915.9942188803435,916.9986016813657,915.9953321280964,916.9947688055711,917.030125191357
Sphingomonas sp. SKA58,-2492.593634215282,13136.14349313081,-2766.1531875218343,-1218.9286643270877,-72.00128753400047,2252.2441110111204,1701.0047545946052,412.0010998791388,-1734.0356306993679,-2515.7768884015877,16410.260345273873,12028.492053949642,-1066.085796259276,-1278.1776228923572,7238.103989219997,5095.885064989615,-2767.344371826896,-672.8930991331134,19381.216122704223,2654.6229750006546,-2324.962822316323,103.14937554444843,446.47402335940967,-543.0050982316628,-4655.964537986805,1623.999845149797,916.0012641088483,-4987.999999782154,-4987.99321324537,-4988.258423915413,-4988.015072008447,-4988.005567710857,-4988.515528368545,-4988.5119006889045,-4988.531834482454,-4988.507971171066,-4988.0234926735275,-4988.516216950756,-4989.522111257704,-4999.071011134271,-4988.019993599698,-4988.0115612339005,-4988.006241366698,-4988.516701128104,-4988.505162622876,-4989.536547295859,-4988.013435369715,-4988.021735701879,-4989.51512849227,-4988.0300628987,-4988.5316602643825,-4989.4886186895255,-4988.001910779454,-4988.517910171424,-4988.0200111053755,-4987.991011810067,-4988.022322150952,-4988.008346044613,-4988.000724508176,-4991.981484435757,-4989.01768998131,-4988.021150036193,-4988.005009170728,-4988.964874784172,-4988.993390145895,-4991.319944546135,-4988.507999269757,-4992.043345387227,-4988.021189838632,-4988.001983944164,-4988.012416243853,-4988.008834295661,-4988.003796403218,-4988.014115727163,-4988.003754694146,-4988.541931714733,-4988.526101928877,-4988.5329476686775,-4987.990121411468,-4991.221032258891,-4991.253953328146,-4989.506078912679,-4988.527917693101,-4988.0072785056855,-4988.512741948272,-4988.005925968929,-4988.969882501846,-5000.550017316086,-4988.579734550569,-4988.086091784829,-4988.050535243267,-4987.995336520291,-4988.004003864895,-4987.998831026572,-4988.497462424666,-4988.001576459296,-4988.9852180518765,-4987.996890834248,-4989.5031194892335,-4989.490510057223
Prochlorococcus marinus str. MIT 9312,-2485.8395890370616,13136.859459466314,-2754.184154601612,-1220.4980056281474,-73.0110807252918,2246.8946801458915,1700.9900387358284,412.1089678422872,-1727.238765419148,-2518.945981315783,16413.170473472666,12029.82532755605,-1067.0178632855664,-1281.0073028798558,7235.241790865179,5096.470898061932,-2757.7556424664303,-674.9519860289803,19382.192251765653,2655.9629429627175,-2327.0431828808496,103.09709652578344,436.7443815850163,-545.6383530633015,-4661.568933936074,1623.9686208361825,918.9969160422494,-4987.99321324537,-238.00099987460544,-237.99347792976124,-238.2641402189795,-238.37084710057755,-238.08168356491538,-238.00054570926525,-238.00665303539904,-237.99695682482295,-237.71823727915043,-237.93431830680925,-238.40727190987295,-238.01347184959573,-238.00396169549632,-238.0065135248997,-238.00260246750344,-237.9604140569351,-237.41531045341134,-236.75492678084342,-237.83864063123426,-238.65738902650435,-238.61696593329577,-238.00084624698286,-237.96605126497428,-237.76227720349902,-238.00006626841733,-238.00254837014373,-237.8357171320653,-237.83601501358564,-238.00365346231217,-238.0030028274515,-237.837292926171,-238.9850806219054,-234.962911547776,-238.00375289057368,-236.12849464991618,-238.8233931102304,-238.00371967773336,-236.9901817370855,-237.98763132854202,-239.06123499045427,-238.09278489075606,-237.85789623474275,-238.09217982250846,-237.99992259847312,-239.00017811933063,-239.00176844904533,-238.04528689180694,-238.29617940109426,-237.62297664398815,-238.00469103331537,-237.80784577103242,-236.0016905206505,-236.00324740682336,-237.9673191330765,-238.00318442433803,-238.00232994185674,-238.00401047106124,-238.0016620534573,-235.62609058193016,-235.74307817153638,-237.0037962040481,-237.8345215239951,-238.01737886361556,-238.00308300061047,-238.00248113487973,-238.00133473058975,-238.50316309377573,-238.00171433749946,-238.82828873221644,-238.00260750831845,-237.80474829764597,-237.79387614636298
Prochlorococcus marinus str. MIT 9312,-2476.4641219425653,13136.79750599359,-2749.655490348848,-1220.292421599165,-73.05824714189504,2247.4620549261053,1700.9834243540827,412.00573048112824,-1727.2857355564424,-2519.068995756325,16409.869857068854,12028.102200311994,-1066.9667432201059,-1281.0098749924189,7243.540510097203,5100.248442275178,-2759.912410606987,-675.0610802038557,19379.062851655533,2655.656966560272,-2327.029854278887,99.94752695064876,436.8462585882162,-545.6090604926819,-4662.964368349795,1623.976941651701,918.9800897466143,-4988.258423915413,-237.99347792976124,686.0000005125161,685.9858091196961,685.6642920622932,687.2724741729784,686.0064834152837,685.9962511366288,690.487108324128,686.1232753086355,696.1763289655639,691.583502239594,689.9815091508108,685.9990899951914,686.0147102545629,685.9988041286341,690.7484888377663,686.1467089865514,686.525607388151,685.8361638761918,686.969303557001,691.6393633084592,686.0001837082804,686.5148260743364,690.7336226743994,685.9986589553363,686.492138820013,686.2582588130218,686.3723854797583,685.9995724381623,685.9988026881306,685.8329836899329,688.3616432448487,692.101753883295,685.9987059545871,687.2876001221886,689.8270139888192,689.999903738966,693.4718967905947,690.5050731818271,687.425789098767,686.885568672376,685.8596905438426,686.4577986277533,685.9971082527248,686.0002319434117,686.001086749459,686.3290182897463,686.9278933987954,686.844153464371,686.4992375130087,685.7971038664463,691.1663334383703,690.4941205309415,686.7818430414596,686.4998702890307,685.9982460295255,686.4994765667664,686.004277974606,688.5164897207117,691.6056510332764,693.4581909154992,685.8321318369462,685.9977191712668,687.0010368101324,685.9990900395828,685.9911473441504,687.0043836510818,685.9995672176497,689.8274149038108,685.9999388342586,690.3408856034571,690.3554741227873
Acinetobacter baumannii ATCC 17978,-2486.3321555589373,13141.897080168897,-2757.463578201468,-1217.8895422825042,-71.01923667918356,2253.0106317733976,1702.508669055731,412.981883589654,-1733.0069489889054,-2512.5678437205925,16409.544799091615,12028.550806725907,-1064.025251858636,-1278.5684738441817,7242.404756556809,5097.004671526255,-2766.190405256271,-678.4409295540291,19380.41308488207,2656.235778064528,-2325.419384548074,104.6157817660057,445.8281348963046,-544.012972392269,-4658.178576677979,1623.9946908928232,918.0137531929269,-4988.015072008447,-238.2641402189795,685.9858091196961,978.0020001977012,977.6696090540855,980.988396395991,979.1384547141238,977.8662475608171,978.0414205910834,980.9484576654819,976.5218800223449,980.902920171607,977.9358870590276,982.5516538616574,977.9841514467996,977.9832534489274,980.8608270231874,981.6786319761861,978.8373089406417,978.0026203938983,977.8960566527828,979.489623482562,979.9972816376657,980.7815760725983,977.839471316,978.0030242147766,978.9289890677245,980.0921462996976,978.6159523029938,976.0044813935273,975.9865629781259,982.0087737432231,982.7817166390334,978.4829152369275,977.9819394276228,977.6800970182501,977.2021040682495,977.4939501028003,980.0585347564361,977.8531931613389,980.0109882936981,978.5027136534131,977.9385149238036,981.9677739584175,978.4676503314492,977.9363382291555,977.9964544154888,982.0403258085765,980.5253945870631,977.9846940490236,978.043594024184,976.0219165489995,978.0009423028324,978.014411392056,976.9489790139768,978.0252667552139,975.9809372884594,975.8510046673982,978.0026040367276,979.2534433141414,983.1089195081669,980.0649595224859,977.5441204914954,982.0107351840296,979.9996267962798,977.8739865300611,979.996058715037,978.0181344500077,977.9791620779922,980.3178632896321,979.9707611759005,976.0650118838367,976.2117257670302
Acinetobacter baumannii ATCC 17978,-2487.0424862992386,13141.810121776258,-2759.772902949881,-1219.0608336255402,-70.99649613982507,2253.00505094513,1702.0029665487777,412.99461228053985,-1733.021366809159,-2517.502214483741,16409.57221464848,12028.615510625705,-1064.348003326037,-1278.2465891168715,7240.4962828824955,5098.973290264467,-2765.9698308199836,-678.9288130042887,19380.497910287155,2654.0436149050342,-2326.126299308625,104.29488517543614,446.042130385468,-543.0023523691632,-4659.709493675863,1623.9967484835745,916.001180245304,-4988.005567710857,-238.37084710057755,685.6642920622932,977.6696090540855,-679.9989997744108,-679.9745673698969,-680.0203806735244,-679.9637764204914,-679.9043413429636,-679.9947196740919,-680.9884126066875,-680.9698872910674,-685.0032131672771,-675.903433858586,-680.0141177418686,-676.9708716278373,-678.995840093155,-680.0049202108652,-682.0060844090054,-680.0125742460376,-676.9679928043864,-682.6072112189179,-676.9598835210294,-678.0068086237186,-677.9303442691402,-679.9833943645428,-680.0040114724122,-680.9988745493814,-680.9820339678372,-677.9796912938114,-676.9700066272345,-678.0000676594076,-675.9878934299595,-678.907470993109,-679.9855703755771,-679.9657759874215,-677.9802436025495,-678.0223998846485,-681.9850920023331,-679.9333091986997,-676.0876908724496,-679.0128600023867,-680.0538893022474,-680.0321238186505,-680.0377353046517,-679.9748131980202,-680.0026414233057,-679.9531675249231,-683.0177953973301,-679.9907108434069,-680.0003546155865,-678.0270636385748,-683.9534147191363,-683.9288304273101,-680.001011411915,-679.9998876741344,-677.9670506294942,-677.9553144321183,-678.6659068596642,-677.9896089440286,-679.1945587078826,-680.9726214352482,-679.0134244108485,-679.0766520189505,-680.9976051823551,-677.968365839485,-680.009524056773,-680.9990254987756,-677.9676872677401,-678.9923319356537,-680.0045233998977,-684.5842682595119,-684.6217584024529
Comamonas testosteroni KF-1,-2488.004440015226,13136.31649984206,-2760.169718346149,-1220.1856456010269,-71.00401086774814,2251.6317988777537,1701.999342022462,412.9985055649808,-1730.9958872557831,-2512.3558962423654,16410.527108827388,12028.466637750806,-1064.0887167198628,-1277.8310643686646,7241.898563705666,5092.629693106174,-2765.1644219593204,-678.0341114916074,19381.39160333588,2658.334260030369,-2326.2533463860996,105.36233147060237,437.7734525518276,-543.0018554422875,-4658.670029018379,1623.993254430397,916.9935447392868,-4988.515528368545,-238.08168356491538,687.2724741729784,980.988396395991,-679.9745673698969,-5689.99799769666,-5691.001723588363,-5691.009618652048,-5691.004006953662,-5690.011716226645,-5692.018198487219,-5691.01544197088,-5692.002954151194,-5690.991588361721,-5689.999824789964,-5689.996921787357,-5685.997093545958,-5685.99447789779,-5691.006604261774,-5690.00832632765,-5691.001089901734,-5691.3452499481455,-5690.008360817503,-5692.011944260462,-5691.021750700587,-5690.000079457284,-5689.996591206122,-5692.00688536228,-5691.995817014695,-5690.011036488734,-5689.995340649582,-5690.992872960043,-5693.001925285841,-5690.992935271874,-5690.010375888584,-5691.014515929501,-5689.001285309669,-5689.998698059987,-5692.006697141628,-5690.9743577897525,-5693.004719748193,-5686.985234781269,-5689.993487616563,-5691.015427777652,-5690.000102538001,-5688.995093394051,-5688.999554264078,-5690.99580357247,-5691.027050643501,-5690.004126029582,-5690.002458584037,-5692.002996430105,-5692.038394822684,-5692.031653173415,-5693.006718109528,-5690.006274654235,-5689.998470467062,-5689.994240611919,-5692.014247502477,-5690.995417279383,-5694.066842147968,-5692.015168203203,-5690.006953114182,-5691.0269780339995,-5690.998454399438,-5689.997440595808,-5691.0003685853435,-5691.019514725178,-5689.999064531632,-5689.001939576083,-5689.997042424618,-5691.315694579349,-5692.3171788749805
Thiomonas intermedia K12,-2492.2586790117707,13136.78347457436,-2763.606755335279,-1218.8079176727904,-72.01556000209098,2253.4818900042687,1701.0117724640845,411.9849559492606,-1731.9855121757985,-2515.284069059704,16410.381688788882,12027.989993265137,-1065.002798156729,-1277.51232359057,7240.474117835201,5096.735628493871,-2771.8266840480924,-679.0087299924439,19380.988448794695,2654.4699407760004,-2327.999972485182,102.99124901476704,446.9491737797424,-543.0047612273946,-4660.543702787369,1623.991997986199,917.0077023577685,-4988.5119006889045,-238.00054570926525,686.0064834152837,979.1384547141238,-680.0203806735244,-5691.001723588363,-1565.998998451494,-1565.985484922911,-1565.9588426954763,-1567.0706152549553,-1565.288049431308,-1568.2508204956043,-1565.9988412605987,-1564.9839531112348,-1566.6105472643135,-1565.9985048782517,-1566.2266135253499,-1566.0295361643675,-1565.9203826686905,-1565.9970204509927,-1566.3085642961164,-1568.339436191798,-1565.988789153127,-1566.0196540085906,-1566.628418706221,-1565.9979558734333,-1565.9987227779638,-1566.1908125370592,-1566.1643899769715,-1565.9916695811794,-1565.9969586430589,-1564.987575288731,-1564.9914473504168,-1567.2220921740736,-1565.9896973388852,-1566.181950708882,-1565.9924350238707,-1564.9948352996994,-1563.8984933333518,-1565.9444401593921,-1564.670310855975,-1566.0853561428735,-1565.9996609254342,-1567.2112847395301,-1565.9866826669934,-1565.9889801694148,-1565.9918373784758,-1566.9205134369604,-1566.2868095188023,-1566.2420887589192,-1565.9922219707448,-1564.9921662149081,-1564.9920481019142,-1564.9938272577037,-1565.2551084224206,-1565.9957211151195,-1565.9973553023278,-1565.9965370122882,-1565.9957539127768,-1564.6976250590935,-1565.614264604862,-1564.9675837661407,-1566.0195328926047,-1564.9543638699217,-1565.9951475469072,-1565.9955473649027,-1565.9947352450376,-1565.9774010960177,-1565.9983566135263,-1565.985276783496,-1565.996638076384,-1566.2620567655729,-1565.233840808081
Thiomonas intermedia K12,-2489.7354995730043,13136.887168074778,-2761.581871511625,-1218.481050895364,-72.03998575767295,2254.4767355607933,1701.003247749963,411.97669545267024,-1731.0000488538903,-2515.1478599785496,16410.412809165136,12027.554146945668,-1065.9917147582225,-1278.5098610954951,7239.840776682055,5094.1353846171005,-2767.56200954042,-680.0126339544215,19381.206480864672,2656.0793649860375,-2328.0004717307415,102.99067810281294,446.9306624548994,-544.0044070769047,-4660.217858528038,1623.9950251815203,917.9978961248731,-4988.531834482454,-238.00665303539904,685.9962511366288,977.8662475608171,-679.9637764204914,-5691.009618652048,-1565.985484922911,-3470.9989998867186,-3470.9932051548867,-3471.9130035350263,-3471.9472024283555,-3471.472905984828,-3470.9942379481977,-3472.0050882605824,-3471.538566025411,-3471.003223060801,-3470.811765286965,-3470.842483897327,-3472.740078830323,-3470.9975872837063,-3471.087256423759,-3470.071271245654,-3470.9977678697446,-3472.0024177131777,-3471.0401224168095,-3470.997284252409,-3471.0000371391825,-3470.9137276610777,-3471.025443990905,-3471.0024142433854,-3471.0015449147195,-3471.992024370184,-3472.265227333761,-3471.6844117702085,-3471.0013683252537,-3471.05409916411,-3470.9818756231525,-3471.0037082046842,-3472.026979803308,-3470.9839682879215,-3471.5705377231643,-3470.968939952373,-3470.997671016537,-3471.5096896467294,-3471.00193644313,-3471.005100682517,-3471.0007102543136,-3471.6112710865846,-3471.248032713063,-3471.005247267303,-3471.004175668028,-3472.0066106608692,-3471.0062825394375,-3471.512041017974,-3472.43217148441,-3471.0039797606205,-3470.9994051297995,-3471.0018354325143,-3471.001193840976,-3470.943307811157,-3472.5459974016553,-3471.9406455486674,-3470.9879365104152,-3472.0023804570933,-3470.9949440567248,-3471.003156402316,-3470.9975781758985,-3470.99212759623,-3471.0000078619737,-3470.988023055938,-3471.004223121726,-3469.2974586153314,-3470.3275497202153
Enterococcus faecium E1162,-2490.4245079075786,13140.99705108442,-2760.5989680765897,-1219.3300682299487,-74.03603125356669,2253.477924567618,1702.9856241240016,416.4824739974436,-1732.997929842546,-2579.0489910905176,16410.003231261075,12026.007377873504,-1064.0052670043592,-1279.002874132044,7237.2646192105,5094.883004350699,-2769.9906060897874,-678.9986727828906,19381.999136032737,2651.4010234085977,-2326.9924819454027,101.02496336869318,374.97813705147934,-544.0091208937539,-4659.357728324768,1623.9971971167472,919.0127576260352,-4988.507971171066,-237.99695682482295,690.487108324128,978.0414205910834,-679.9043413429636,-5691.004006953662,-1565.9588426954763,-3470.9932051548867,12.002000023970893,15.597921016959956,15.036500777007163,18.422194838869796,19.468060614558805,17.40276612319419,11.9633153480894,16.408974134494578,16.41452972054364,14.453385984245925,16.639327557048418,16.030983971244673,18.177814973977505,18.57374181852944,15.53746083542435,21.007662813357168,11.924984764340095,13.569870430988987,14.016460635714415,12.614435181818974,13.195833919578057,12.494633770475906,12.35580051627705,18.00740589891419,15.837744461753843,16.491251762537942,12.433091477963774,16.122921068385114,13.216874058656302,13.559365765159058,15.900574734213249,16.053429226046795,15.537406871594486,16.12002482213078,14.590502018660747,16.5748829278662,12.048301674173354,18.94113326921362,16.106181433059685,17.193548989337163,12.879258049970865,16.397963289194927,16.730032023757737,21.012138072795548,15.037643139926969,15.017564128379393,17.29559751890232,16.631679210798545,12.304617900339023,12.619361180846674,12.530098056026587,16.063935446107173,17.084382864766752,15.95177369608596,15.783132938196578,18.90874332722446,13.00392149278329,16.54363083925305,14.022063023039076,16.00995353790162,12.357180121684188,13.364723925033832,16.756871870150285,19.106554975656426,20.14716954090835
