code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number,file_name
74546.3,Prochlorococcus marinus str. MIT 9312,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1,74546.3.txt
74546.5,Prochlorococcus marinus str. MIT 9312,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1,74546.5.txt
400667.4,Acinetobacter baumannii ATCC 17978,Acinetobacter,baumannii,Acinetobacter baumannii,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28,400667.4.txt
400667.7,Acinetobacter baumannii ATCC 17978,Acinetobacter,baumannii,Acinetobacter baumannii,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28,400667.7.txt
399795.3,Comamonas testosteroni KF-1,Comamonas,testosteroni,Comamonas testosteroni,biofilm;rhizosphere;sludge;soil;river;wetland;waste;oil;lake;spring;compost;forest,12,399795.3.txt
75379.3,Thiomonas intermedia K12,Thiomonas,intermedia,Thiomonas intermedia,mine;spring,2,75379.3.txt
75379.4,Thiomonas intermedia K12,Thiomonas,intermedia,Thiomonas intermedia,mine;spring,2,75379.4.txt
535206.4,Enterococcus faecium E1162,Enterococcus,faecium,Enterococcus faecium,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21,535206.4.txt
391619.3,Phaeobacter gallaeciensis BS107,Phaeobacter,gallaeciensis,Phaeobacter gallaeciensis,biofilm;water;surface;sea,4,391619.3.txt
537973.8,Lactobacillus paracasei subsp. paracasei 8700:2,Lactobacillus,paracasei,Lactobacillus paracasei,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,537973.8.txt
561276.4,Streptococcus pneumoniae ATCC 700669,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,561276.4.txt
451755.5,Clostridium perfringens E str. JGS1987,Clostridium,perfringens,Clostridium perfringens,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30,451755.5.txt
523791.5,Kangiella koreensis DSM 16069,Kangiella,koreensis,Kangiella koreensis,soil,1,523791.5.txt
311403.8,Agrobacterium radiobacter K84,Agrobacterium,radiobacter,Agrobacterium radiobacter,soil;rhizosphere;air;field;water;sandstone;forest;sewage;waste;wetland,10,311403.8.txt
83334.1,Escherichia coli O157:H7,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,83334.1.txt
375286.7,Janthinobacterium sp. Marseille,Janthinobacterium,sp.,Janthinobacterium sp.,soil;river;sea;water;coast;biofilm;air;plateau,8,375286.7.txt
375286.6,Janthinobacterium sp. Marseille,Janthinobacterium,sp.,Janthinobacterium sp.,soil;river;sea;water;coast;biofilm;air;plateau,8,375286.6.txt
177416.18,Francisella tularensis subsp. tularensis SCHU S4,Francisella,tularensis,Francisella tularensis,blood,1,177416.18.txt
526989.3,Bacillus cereus F65185,Bacillus,cereus,Bacillus cereus,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74,526989.3.txt
